frame_index,step_time,eps11_bc,y_mm,u3_mean_mm,u3_min_mm,u3_max_mm,n_nodes
0,0.0,0.0,21.875,0.0,0.0,0.0,18
0,0.0,0.0,22.03125,0.0,0.0,0.0,26
0,0.0,0.0,22.1875,0.0,0.0,0.0,44
0,0.0,0.0,22.34375,0.0,0.0,0.0,65
0,0.0,0.0,22.5,0.0,0.0,0.0,65
0,0.0,0.0,22.65625,0.0,0.0,0.0,65
0,0.0,0.0,22.8125,0.0,0.0,0.0,44
0,0.0,0.0,22.96875,0.0,0.0,0.0,26
0,0.0,0.0,23.125,0.0,0.0,0.0,18
0,0.0,0.0,23.28125,0.0,0.0,0.0,14
0,0.0,0.0,23.4375,0.0,0.0,0.0,12
0,0.0,0.0,23.59375,0.0,0.0,0.0,12
0,0.0,0.0,23.75,0.0,0.0,0.0,10
0,0.0,0.0,23.90625,0.0,0.0,0.0,8
0,0.0,0.0,24.0625,0.0,0.0,0.0,8
0,0.0,0.0,24.21875,0.0,0.0,0.0,8
0,0.0,0.0,24.375,0.0,0.0,0.0,8
0,0.0,0.0,24.53125,0.0,0.0,0.0,8
0,0.0,0.0,24.6875,0.0,0.0,0.0,7
0,0.0,0.0,24.84375,0.0,0.0,0.0,6
0,0.0,0.0,25.0,0.0,0.0,0.0,6
0,0.0,0.0,25.15625,0.0,0.0,0.0,6
0,0.0,0.0,25.3125,0.0,0.0,0.0,8
0,0.0,0.0,25.46875,0.0,0.0,0.0,8
0,0.0,0.0,25.625,0.0,0.0,0.0,8
0,0.0,0.0,25.78125,0.0,0.0,0.0,8
0,0.0,0.0,25.9375,0.0,0.0,0.0,8
0,0.0,0.0,26.09375,0.0,0.0,0.0,8
0,0.0,0.0,26.25,0.0,0.0,0.0,10
0,0.0,0.0,26.40625,0.0,0.0,0.0,12
0,0.0,0.0,26.5625,0.0,0.0,0.0,12
0,0.0,0.0,26.71875,0.0,0.0,0.0,14
0,0.0,0.0,26.875,0.0,0.0,0.0,18
0,0.0,0.0,27.03125,0.0,0.0,0.0,26
0,0.0,0.0,27.1875,0.0,0.0,0.0,44
0,0.0,0.0,27.34375,0.0,0.0,0.0,65
0,0.0,0.0,27.5,0.0,0.0,0.0,65
0,0.0,0.0,27.65625,0.0,0.0,0.0,65
0,0.0,0.0,27.8125,0.0,0.0,0.0,44
0,0.0,0.0,27.96875,0.0,0.0,0.0,26
0,0.0,0.0,28.125,0.0,0.0,0.0,18
0,0.0,0.0,28.28125,0.0,0.0,0.0,14
0,0.0,0.0,28.4375,0.0,0.0,0.0,12
0,0.0,0.0,28.59375,0.0,0.0,0.0,12
0,0.0,0.0,28.75,0.0,0.0,0.0,10
0,0.0,0.0,28.90625,0.0,0.0,0.0,8
0,0.0,0.0,29.0625,0.0,0.0,0.0,8
0,0.0,0.0,29.21875,0.0,0.0,0.0,8
0,0.0,0.0,29.375,0.0,0.0,0.0,8
0,0.0,0.0,29.53125,0.0,0.0,0.0,8
0,0.0,0.0,29.6875,0.0,0.0,0.0,7
0,0.0,0.0,29.84375,0.0,0.0,0.0,6
0,0.0,0.0,30.0,0.0,0.0,0.0,6
1,0.10000000149011612,0.0009999999776482583,0.0,-0.015987414866685867,-0.017662987112998962,-0.01427955087274313,6
1,0.10000000149011612,0.0009999999776482583,0.15625,-0.01586130866780877,-0.017472051084041595,-0.014234011992812157,6
1,0.10000000149011612,0.0009999999776482583,0.3125,-0.015751939034089446,-0.017305010929703712,-0.014180457219481468,8
1,0.10000000149011612,0.0009999999776482583,0.46875,-0.015625513158738613,-0.01711728423833847,-0.01412464864552021,8
1,0.10000000149011612,0.0009999999776482583,0.625,-0.015497927437536418,-0.01691756583750248,-0.014069710858166218,8
1,0.10000000149011612,0.0009999999776482583,0.78125,-0.015382480574771762,-0.016735181212425232,-0.014022810384631157,8
1,0.10000000149011612,0.0009999999776482583,0.9375,-0.015279681421816349,-0.016563553363084793,-0.0139919463545084,8
1,0.10000000149011612,0.0009999999776482583,1.09375,-0.015190902282483876,-0.016402412205934525,-0.013969261199235916,8
1,0.10000000149011612,0.0009999999776482583,1.25,-0.015117537043988705,-0.016254156827926636,-0.013969413936138153,10
1,0.10000000149011612,0.0009999999776482583,1.40625,-0.015045832454537353,-0.016109785065054893,-0.013959169387817383,12
1,0.10000000149011612,0.0009999999776482583,1.5625,-0.01496266721126934,-0.01596355251967907,-0.013949922285974026,12
1,0.10000000149011612,0.0009999999776482583,1.71875,-0.01488933406238045,-0.015825221315026283,-0.013934258371591568,14
1,0.10000000149011612,0.0009999999776482583,1.875,-0.014818732368035449,-0.015707895159721375,-0.013874423690140247,18
1,0.10000000149011612,0.0009999999776482583,2.03125,-0.014714421811871804,-0.01557511929422617,-0.013802130706608295,26
1,0.10000000149011612,0.0009999999776482583,2.1875,-0.01463213258168914,-0.015496754087507725,-0.013713651336729527,44
1,0.10000000149011612,0.0009999999776482583,2.34375,-0.014526516199111938,-0.015287254005670547,-0.013643268495798111,65
1,0.10000000149011612,0.0009999999776482583,2.5,-0.014397621240753394,-0.015136854723095894,-0.013555951416492462,65
1,0.10000000149011612,0.0009999999776482583,2.65625,-0.01426909133218802,-0.01501817163079977,-0.013449848629534245,65
1,0.10000000149011612,0.0009999999776482583,2.8125,-0.014069507279517975,-0.014825742691755295,-0.013327081687748432,44
1,0.10000000149011612,0.0009999999776482583,2.96875,-0.013911361232973062,-0.014690856449306011,-0.01307108998298645,26
1,0.10000000149011612,0.0009999999776482583,3.125,-0.013774273865338828,-0.014572840183973312,-0.012941800989210606,18
1,0.10000000149011612,0.0009999999776482583,3.28125,-0.013627479252006327,-0.014457423239946365,-0.01277643721550703,14
1,0.10000000149011612,0.0009999999776482583,3.4375,-0.013494691113010049,-0.014369521290063858,-0.012637235224246979,12
1,0.10000000149011612,0.0009999999776482583,3.59375,-0.013358425969878832,-0.014284949749708176,-0.012455943040549755,12
1,0.10000000149011612,0.0009999999776482583,3.75,-0.01321363691240549,-0.014170144684612751,-0.012255602516233921,10
1,0.10000000149011612,0.0009999999776482583,3.90625,-0.013067129184491932,-0.014066287316381931,-0.01207023672759533,8
